User_ID,User_Location,Gender,Cart_Contents,Cart_Value,Session_Date,Session_Duration,Abandonment_Reason,Purchase_Category,Referral_Medium,Device_Type,Cart_Status
User_1,Virginia,Male,Toys,152.01,12/24/2023,99,,Teddy bears,Email,Tablet,Paid
User_2,Florida,Male,Footwear,222.52,10/3/2023,32,,Oxfords,Social Media,Tablet,Paid
User_3,New York,Male,Toys,331.94,11/19/2023,62,Complex Checkout,Games,Social Media,Desktop,Abandoned
User_4,Virginia,Male,Toys,222.85,12/2/2023,32,,Dolls,Search Engine,Mobile,Paid
User_5,Chicago,Female,Home Decor,309.79,8/2/2023,63,No Total Order Upfront,Vase,Social Media,Mobile,Abandoned
User_6,Virginia,Female,Footwear,445.02,11/5/2023,29,,Sneakers,Search Engine,Tablet,Paid
User_7,Texas,Female,Electronics,430.55,8/24/2023,40,No Guest Checkout Option,Tablet,Email,Mobile,Abandoned
User_8,Texas,Female,Clothing,341.68,11/21/2023,87,No Total Order Upfront,T-Shirt,Social Media,Tablet,Abandoned
User_9,Texas,Female,Clothing,98.43,8/12/2023,86,,Jeans,Email,Mobile,Paid
User_10,Florida,Female,Electronics,129.94,12/26/2023,45,,Tablet,Search Engine,Desktop,Paid
User_11,Texas,Female,Toys,171.05,10/2/2023,118,No Guest Checkout Option,Barbie,Search Engine,Mobile,Abandoned
User_12,California,Female,Footwear,278.71,8/16/2023,119,No Guest Checkout Option,Slippers,Social Media,Mobile,Abandoned
User_13,Texas,Male,Footwear,256.89,8/4/2023,24,Complex Checkout,Oxfords,Email,Mobile,Abandoned
User_14,Virginia,Female,Accessory,306.03,11/12/2023,37,,Chains,Search Engine,Tablet,Paid
User_15,Virginia,Female,Footwear,380.42,12/10/2023,19,No Guest Checkout Option,Heels,Social Media,Mobile,Abandoned
User_16,Chicago,Female,Toys,146.43,8/21/2023,27,,Games,Search Engine,Tablet,Paid
User_17,Texas,Female,Footwear,312.31,10/20/2023,102,,Oxfords,Social Media,Tablet,Paid
User_18,Florida,Male,Footwear,175.59,10/13/2023,51,,Heels,Search Engine,Desktop,Paid
User_19,Texas,Female,Electronics,61.11,8/19/2023,13,,Laptop,Search Engine,Tablet,Paid
User_20,Chicago,Female,Clothing,147.23,9/19/2023,32,No Guest Checkout Option,Jeans,Email,Mobile,Abandoned
User_21,Chicago,Female,Toys,199.24,8/10/2023,20,No Guest Checkout Option,Puzzles,Search Engine,Desktop,Abandoned
User_22,Texas,Female,Footwear,130.46,8/31/2023,14,,Sneakers,Search Engine,Desktop,Paid
User_23,Florida,Female,Electronics,266.79,11/5/2023,67,,Laptop,Social Media,Mobile,Paid
User_24,Virginia,Female,Footwear,246.88,8/21/2023,29,No Guest Checkout Option,Sneakers,Search Engine,Tablet,Abandoned
User_25,Chicago,Female,Accessory,244.17,8/6/2023,88,No Total Order Upfront,Chains,Search Engine,Desktop,Abandoned
User_26,Chicago,Female,Electronics,139.36,8/4/2023,62,,Laptop,Social Media,Mobile,Paid
User_27,Texas,Male,Electronics,232.7,11/30/2023,17,No Guest Checkout Option,Phone,Email,Tablet,Abandoned
User_28,Florida,Male,Clothing,99.83,10/9/2023,32,,Sweater,Search Engine,Mobile,Paid
User_29,Chicago,Female,Home Decor,464.73,8/9/2023,59,No Guest Checkout Option,Wall Art,Search Engine,Mobile,Abandoned
User_30,Texas,Male,Footwear,373.15,10/1/2023,45,,Sneakers,Search Engine,Tablet,Paid
User_31,Chicago,Female,Clothing,47.3,9/28/2023,113,,Jeans,Search Engine,Tablet,Paid
User_32,California,Male,Accessory,77.55,9/25/2023,79,Complex Checkout,Chains,Search Engine,Tablet,Abandoned
User_33,California,Female,Footwear,291.31,9/30/2023,38,,Oxfords,Email,Tablet,Paid
User_34,Texas,Male,Accessory,82.82,8/25/2023,45,No Guest Checkout Option,Sunglasses,Search Engine,Mobile,Abandoned
User_35,Virginia,Female,Electronics,55.17,11/10/2023,38,,Laptop,Social Media,Desktop,Paid
User_36,Florida,Female,Home Decor,95.72,11/28/2023,43,No Total Order Upfront,Vase,Email,Tablet,Abandoned
User_37,Texas,Female,Electronics,470.69,12/15/2023,19,,Phone,Email,Tablet,Paid
User_38,Texas,Female,Footwear,121.1,9/25/2023,92,,Heels,Social Media,Mobile,Paid
User_39,Texas,Male,Electronics,324.46,11/3/2023,5,Complex Checkout,Headphones,Email,Mobile,Abandoned
User_40,Virginia,Male,Clothing,375.79,12/23/2023,76,No Guest Checkout Option,T-Shirt,Search Engine,Desktop,Abandoned
User_41,Florida,Female,Clothing,281.88,11/4/2023,75,No Guest Checkout Option,Jeans,Social Media,Mobile,Abandoned
User_42,New York,Female,Electronics,451.48,8/18/2023,36,,Phone,Social Media,Tablet,Paid
User_43,Virginia,Female,Footwear,379.75,11/12/2023,115,Complex Checkout,Oxfords,Search Engine,Mobile,Abandoned
User_44,New York,Female,Home Decor,395.55,11/8/2023,90,,Candle Holder,Search Engine,Mobile,Paid
User_45,Virginia,Male,Accessory,438.64,11/23/2023,30,Complex Checkout,Wristwatch,Social Media,Mobile,Abandoned
User_46,Virginia,Male,Clothing,31.36,12/16/2023,47,,Dress,Search Engine,Tablet,Paid
User_47,Texas,Female,Footwear,211.85,10/15/2023,47,No Guest Checkout Option,Sneakers,Search Engine,Mobile,Abandoned
User_48,Texas,Male,Electronics,72.03,8/22/2023,98,,Headphones,Social Media,Tablet,Paid
User_49,Florida,Male,Accessory,451.76,9/6/2023,10,,Chains,Social Media,Desktop,Paid
User_50,Virginia,Female,Toys,365.33,8/25/2023,30,No Total Order Upfront,Dolls,Social Media,Desktop,Abandoned
User_51,Florida,Female,Footwear,170.68,11/11/2023,120,No Total Order Upfront,Heels,Social Media,Mobile,Abandoned
User_52,Virginia,Female,Accessory,354.66,9/26/2023,58,Complex Checkout,Chains,Social Media,Tablet,Abandoned
User_53,Virginia,Male,Footwear,293.17,11/19/2023,111,,Sneakers,Social Media,Mobile,Paid
User_54,Texas,Female,Footwear,334.26,9/22/2023,61,,Oxfords,Social Media,Mobile,Paid
User_55,Virginia,Female,Clothing,336.25,12/25/2023,89,,Dress,Search Engine,Tablet,Paid
User_56,Texas,Female,Clothing,407.15,11/4/2023,10,,Jeans,Social Media,Tablet,Paid
User_57,Florida,Male,Accessory,218.93,10/27/2023,96,Complex Checkout,Chains,Social Media,Mobile,Abandoned
User_58,Chicago,Male,Toys,350.06,9/9/2023,118,No Total Order Upfront,Teddy bears,Email,Mobile,Abandoned
User_59,Texas,Female,Footwear,242.98,10/25/2023,63,Complex Checkout,Oxfords,Social Media,Tablet,Abandoned
